[rosmaster.main][INFO] 2020-06-16 20:57:46,058: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-06-16 20:57:46,058: Starting ROS Master Node
[xmlrpc][INFO] 2020-06-16 20:57:46,059: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-06-16 20:57:46,059: Started XML-RPC server [http://3ff6fdf48960:11311/]
[rosmaster.master][INFO] 2020-06-16 20:57:46,059: Master initialized: port[11311], uri[http://3ff6fdf48960:11311/]
[xmlrpc][INFO] 2020-06-16 20:57:46,059: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-06-16 20:57:46,094: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,095: +PARAM [/roslaunch/uris/host_3ff6fdf48960__44803] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,588: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,588: +PARAM [/racecar_simulator/scan_field_of_view] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,588: +PARAM [/racecar_simulator/pose_rviz_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,588: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,588: +PARAM [/racecar_simulator/joy_angle_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,589: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,589: +PARAM [/racecar_simulator/scan_beams] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,590: +PARAM [/racecar_simulator/map_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,590: +PARAM [/racecar_simulator/joy_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,590: +PARAM [/racecar_simulator/drive_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,590: +PARAM [/racecar_simulator/joy_speed_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,590: +SERVICE [/rosout/get_loggers] /rosout http://3ff6fdf48960:39167/
[rosmaster.master][INFO] 2020-06-16 20:57:46,590: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,591: +SERVICE [/rosout/set_logger_level] /rosout http://3ff6fdf48960:39167/
[rosmaster.master][INFO] 2020-06-16 20:57:46,591: +PARAM [/racecar_simulator/odom_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,591: +PARAM [/racecar_simulator/scan_distance_to_base_link] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,591: +PARAM [/move_base/collision_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,592: +PUB [/rosout_agg] /rosout http://3ff6fdf48960:39167/
[rosmaster.master][INFO] 2020-06-16 20:57:46,592: +PARAM [/racecar_simulator/update_pose_rate] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:57:46,592: +PARAM [/racecar_simulator/broadcast_transform] by /roslaunch
