[rosmaster.main][INFO] 2020-06-16 20:30:33,727: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-06-16 20:30:33,727: Starting ROS Master Node
[xmlrpc][INFO] 2020-06-16 20:30:33,728: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-06-16 20:30:33,728: Master initialized: port[11311], uri[http://3ff6fdf48960:11311/]
[xmlrpc][INFO] 2020-06-16 20:30:33,728: Started XML-RPC server [http://3ff6fdf48960:11311/]
[xmlrpc][INFO] 2020-06-16 20:30:33,729: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-06-16 20:30:33,760: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:33,761: +PARAM [/roslaunch/uris/host_3ff6fdf48960__40851] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,251: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,251: +PARAM [/racecar_simulator/scan_field_of_view] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,251: +PARAM [/racecar_simulator/pose_rviz_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,251: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,252: +PARAM [/racecar_simulator/joy_angle_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,252: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,252: +PARAM [/racecar_simulator/scan_beams] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,253: +PARAM [/racecar_simulator/map_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,253: +PARAM [/racecar_simulator/joy_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,253: +PARAM [/racecar_simulator/drive_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,253: +PARAM [/racecar_simulator/joy_speed_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,253: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,253: +PARAM [/racecar_simulator/odom_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,253: +PARAM [/racecar_simulator/scan_distance_to_base_link] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,254: +SERVICE [/rosout/get_loggers] /rosout http://3ff6fdf48960:33887/
[rosmaster.master][INFO] 2020-06-16 20:30:34,254: +PARAM [/move_base/collision_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,254: +PARAM [/racecar_simulator/update_pose_rate] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,254: +SERVICE [/rosout/set_logger_level] /rosout http://3ff6fdf48960:33887/
[rosmaster.master][INFO] 2020-06-16 20:30:34,255: +PARAM [/racecar_simulator/broadcast_transform] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,255: +PARAM [/move_base/collision_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,255: +PARAM [/move_base/clearing_rotation_allowed] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,255: +PUB [/rosout_agg] /rosout http://3ff6fdf48960:33887/
[rosmaster.master][INFO] 2020-06-16 20:30:34,256: +PARAM [/racecar_simulator/scan_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,256: +PARAM [/move_base/MpnetLocalPlanner/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,256: +PARAM [/racecar_simulator/wheelbase] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,257: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,257: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,258: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,258: +SUB [/rosout] /rosout http://3ff6fdf48960:33887/
[rosmaster.master][INFO] 2020-06-16 20:30:34,258: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,258: +PARAM [/move_base/collision_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,258: +PARAM [/move_base/collision_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,258: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,258: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,259: +PARAM [/racecar_simulator/joy] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,259: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,259: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,259: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,259: +PARAM [/racecar_simulator/max_steering_angle] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,259: +PARAM [/racecar_simulator/distance_transform_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,259: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,259: +PARAM [/racecar_simulator/scan_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,259: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,259: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,259: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,259: +PARAM [/racecar_simulator/base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,259: +PARAM [/racecar_simulator/map_free_threshold] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,259: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,260: +PARAM [/racecar_simulator/joy_max_speed] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,260: +PARAM [/racecar_simulator/map_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,260: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,260: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,260: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,260: +PARAM [/racecar_simulator/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,260: +PARAM [/move_base/base_local_planner] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,260: +PARAM [/racecar_simulator/scan_std_dev] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,260: +PARAM [/move_base/MpnetLocalPlanner/xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,260: +PARAM [/racecar_simulator/pose_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,260: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,260: +PARAM [/move_base/collision_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,260: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,260: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,261: +PARAM [/move_base/collision_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,261: +PARAM [/racecar_simulator/max_speed] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,261: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,261: +PARAM [/move_base/collision_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,261: +PARAM [/move_base/MpnetLocalPlanner/xy_replan_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:30:34,738: +PUB [/rosout] /map_server http://3ff6fdf48960:41121/
[rosmaster.master][INFO] 2020-06-16 20:30:34,738: +SERVICE [/map_server/get_loggers] /map_server http://3ff6fdf48960:41121/
[rosmaster.master][INFO] 2020-06-16 20:30:34,739: +SERVICE [/map_server/set_logger_level] /map_server http://3ff6fdf48960:41121/
[rosmaster.master][INFO] 2020-06-16 20:30:34,743: +SERVICE [/static_map] /map_server http://3ff6fdf48960:41121/
[rosmaster.master][INFO] 2020-06-16 20:30:34,743: +PUB [/map_metadata] /map_server http://3ff6fdf48960:41121/
[rosmaster.master][INFO] 2020-06-16 20:30:34,744: +PUB [/map] /map_server http://3ff6fdf48960:41121/
[rosmaster.master][INFO] 2020-06-16 20:30:34,829: publisherUpdate[/rosout] -> http://3ff6fdf48960:33887/ ['http://3ff6fdf48960:41121/']
[rosmaster.master][INFO] 2020-06-16 20:30:34,850: publisherUpdate[/rosout] -> http://3ff6fdf48960:33887/ ['http://3ff6fdf48960:41121/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2020-06-16 20:30:35,197: +PUB [/rosout] /robot_state_publisher http://3ff6fdf48960:43385/
