[rosmaster.main][INFO] 2020-06-16 20:38:03,531: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-06-16 20:38:03,531: Starting ROS Master Node
[xmlrpc][INFO] 2020-06-16 20:38:03,531: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-06-16 20:38:03,532: Started XML-RPC server [http://3ff6fdf48960:11311/]
[xmlrpc][INFO] 2020-06-16 20:38:03,532: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-06-16 20:38:03,532: Master initialized: port[11311], uri[http://3ff6fdf48960:11311/]
[rosmaster.master][INFO] 2020-06-16 20:38:03,565: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:38:03,566: +PARAM [/roslaunch/uris/host_3ff6fdf48960__44997] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:38:04,059: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:38:04,059: +PARAM [/racecar_simulator/scan_field_of_view] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:38:04,059: +PARAM [/racecar_simulator/pose_rviz_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:38:04,060: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:38:04,060: +PARAM [/racecar_simulator/joy_angle_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:38:04,060: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:38:04,060: +PARAM [/racecar_simulator/scan_beams] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:38:04,061: +PARAM [/racecar_simulator/map_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:38:04,061: +PARAM [/racecar_simulator/joy_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:38:04,062: +PARAM [/racecar_simulator/drive_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:38:04,062: +SERVICE [/rosout/get_loggers] /rosout http://3ff6fdf48960:34355/
[rosmaster.master][INFO] 2020-06-16 20:38:04,062: +PARAM [/racecar_simulator/joy_speed_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:38:04,063: +SERVICE [/rosout/set_logger_level] /rosout http://3ff6fdf48960:34355/
[rosmaster.master][INFO] 2020-06-16 20:38:04,063: +PARAM [/move_base/local_costmap/height] by /roslaunch
