[rosmaster.main][INFO] 2020-06-16 20:53:13,170: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-06-16 20:53:13,170: Starting ROS Master Node
[xmlrpc][INFO] 2020-06-16 20:53:13,171: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-06-16 20:53:13,171: Started XML-RPC server [http://3ff6fdf48960:11311/]
[rosmaster.master][INFO] 2020-06-16 20:53:13,171: Master initialized: port[11311], uri[http://3ff6fdf48960:11311/]
[xmlrpc][INFO] 2020-06-16 20:53:13,171: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-06-16 20:53:13,208: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:13,210: +PARAM [/roslaunch/uris/host_3ff6fdf48960__35761] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:13,728: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:13,728: +PARAM [/racecar_simulator/scan_field_of_view] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:13,728: +PARAM [/racecar_simulator/pose_rviz_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:13,728: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:13,728: +PARAM [/racecar_simulator/joy_angle_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:13,728: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:13,729: +PARAM [/racecar_simulator/scan_beams] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:13,729: +PARAM [/racecar_simulator/map_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:13,729: +PARAM [/racecar_simulator/joy_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:13,729: +PARAM [/racecar_simulator/drive_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:13,730: +PARAM [/racecar_simulator/joy_speed_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:13,730: +PARAM [/move_base/local_costmap/height] by /roslaunch
