[rosmaster.main][INFO] 2020-06-16 21:00:33,476: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-06-16 21:00:33,476: Starting ROS Master Node
[xmlrpc][INFO] 2020-06-16 21:00:33,477: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-06-16 21:00:33,477: Started XML-RPC server [http://3ff6fdf48960:11311/]
[rosmaster.master][INFO] 2020-06-16 21:00:33,477: Master initialized: port[11311], uri[http://3ff6fdf48960:11311/]
[xmlrpc][INFO] 2020-06-16 21:00:33,477: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-06-16 21:00:33,511: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:33,512: +PARAM [/roslaunch/uris/host_3ff6fdf48960__46703] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,004: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,005: +PARAM [/racecar_simulator/scan_field_of_view] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,005: +PARAM [/racecar_simulator/pose_rviz_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,005: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,006: +PARAM [/racecar_simulator/joy_angle_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,006: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,006: +PARAM [/racecar_simulator/scan_beams] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,006: +PARAM [/racecar_simulator/map_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,006: +PARAM [/racecar_simulator/joy_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,007: +SERVICE [/rosout/get_loggers] /rosout http://3ff6fdf48960:41035/
[rosmaster.master][INFO] 2020-06-16 21:00:34,007: +PARAM [/racecar_simulator/drive_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,007: +PARAM [/racecar_simulator/joy_speed_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,007: +SERVICE [/rosout/set_logger_level] /rosout http://3ff6fdf48960:41035/
[rosmaster.master][INFO] 2020-06-16 21:00:34,008: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,008: +PARAM [/racecar_simulator/odom_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,008: +PARAM [/racecar_simulator/scan_distance_to_base_link] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,008: +PUB [/rosout_agg] /rosout http://3ff6fdf48960:41035/
[rosmaster.master][INFO] 2020-06-16 21:00:34,008: +PARAM [/move_base/collision_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,009: +PARAM [/racecar_simulator/update_pose_rate] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,009: +PARAM [/racecar_simulator/broadcast_transform] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,009: +PARAM [/move_base/collision_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,010: +PARAM [/move_base/clearing_rotation_allowed] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,010: +PARAM [/racecar_simulator/scan_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,011: +PARAM [/move_base/MpnetLocalPlanner/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,011: +SUB [/rosout] /rosout http://3ff6fdf48960:41035/
[rosmaster.master][INFO] 2020-06-16 21:00:34,011: +PARAM [/racecar_simulator/wheelbase] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,011: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,012: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,012: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,012: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,012: +PARAM [/move_base/collision_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,012: +PARAM [/move_base/collision_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,012: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:00:34,012: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
