[rosmaster.main][INFO] 2020-06-16 20:53:48,421: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-06-16 20:53:48,421: Starting ROS Master Node
[xmlrpc][INFO] 2020-06-16 20:53:48,422: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-06-16 20:53:48,422: Started XML-RPC server [http://3ff6fdf48960:11311/]
[rosmaster.master][INFO] 2020-06-16 20:53:48,422: Master initialized: port[11311], uri[http://3ff6fdf48960:11311/]
[xmlrpc][INFO] 2020-06-16 20:53:48,422: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-06-16 20:53:48,461: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,463: +PARAM [/roslaunch/uris/host_3ff6fdf48960__40345] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,959: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,959: +PARAM [/racecar_simulator/scan_field_of_view] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,959: +PARAM [/racecar_simulator/pose_rviz_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,960: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,960: +PARAM [/racecar_simulator/joy_angle_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,961: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,961: +PARAM [/racecar_simulator/scan_beams] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,961: +PARAM [/racecar_simulator/map_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,961: +PARAM [/racecar_simulator/joy_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,961: +PARAM [/racecar_simulator/drive_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,962: +SERVICE [/rosout/get_loggers] /rosout http://3ff6fdf48960:34003/
[rosmaster.master][INFO] 2020-06-16 20:53:48,962: +PARAM [/racecar_simulator/joy_speed_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,962: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,962: +SERVICE [/rosout/set_logger_level] /rosout http://3ff6fdf48960:34003/
[rosmaster.master][INFO] 2020-06-16 20:53:48,962: +PARAM [/racecar_simulator/odom_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,963: +PARAM [/racecar_simulator/scan_distance_to_base_link] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,963: +PARAM [/move_base/collision_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:53:48,963: +PUB [/rosout_agg] /rosout http://3ff6fdf48960:34003/
