[rosmaster.main][INFO] 2020-06-16 20:33:33,266: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-06-16 20:33:33,266: Starting ROS Master Node
[xmlrpc][INFO] 2020-06-16 20:33:33,267: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-06-16 20:33:33,267: Started XML-RPC server [http://3ff6fdf48960:11311/]
[rosmaster.master][INFO] 2020-06-16 20:33:33,267: Master initialized: port[11311], uri[http://3ff6fdf48960:11311/]
[xmlrpc][INFO] 2020-06-16 20:33:33,267: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-06-16 20:33:33,300: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,301: +PARAM [/roslaunch/uris/host_3ff6fdf48960__46849] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,806: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,806: +PARAM [/racecar_simulator/scan_field_of_view] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,806: +PARAM [/racecar_simulator/pose_rviz_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,807: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,807: +PARAM [/racecar_simulator/joy_angle_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,807: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,807: +PARAM [/racecar_simulator/scan_beams] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,807: +PARAM [/racecar_simulator/map_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,807: +PARAM [/racecar_simulator/joy_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,807: +PARAM [/racecar_simulator/drive_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,807: +PARAM [/racecar_simulator/joy_speed_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,807: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,808: +PARAM [/racecar_simulator/odom_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,808: +PARAM [/racecar_simulator/scan_distance_to_base_link] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,808: +PARAM [/move_base/collision_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,808: +PARAM [/racecar_simulator/update_pose_rate] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,808: +PARAM [/racecar_simulator/broadcast_transform] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,808: +PARAM [/move_base/collision_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,808: +PARAM [/move_base/clearing_rotation_allowed] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,808: +PARAM [/racecar_simulator/scan_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,809: +PARAM [/move_base/MpnetLocalPlanner/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,809: +PARAM [/racecar_simulator/wheelbase] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,809: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,809: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,809: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,809: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,809: +PARAM [/move_base/collision_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,809: +PARAM [/move_base/collision_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,809: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,809: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,809: +PARAM [/racecar_simulator/joy] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,810: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,810: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,810: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,810: +PARAM [/racecar_simulator/max_steering_angle] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,810: +PARAM [/racecar_simulator/distance_transform_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,810: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,810: +PARAM [/racecar_simulator/scan_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,810: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,810: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,810: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 20:33:33,811: +PARAM [/racecar_simulator/base_frame] by /roslaunch
