[rosmaster.main][INFO] 2020-06-16 21:02:17,293: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-06-16 21:02:17,293: Starting ROS Master Node
[xmlrpc][INFO] 2020-06-16 21:02:17,294: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-06-16 21:02:17,294: Started XML-RPC server [http://3ff6fdf48960:11311/]
[xmlrpc][INFO] 2020-06-16 21:02:17,294: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-06-16 21:02:17,294: Master initialized: port[11311], uri[http://3ff6fdf48960:11311/]
[rosmaster.master][INFO] 2020-06-16 21:02:17,328: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,329: +PARAM [/roslaunch/uris/host_3ff6fdf48960__43931] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,819: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,819: +PARAM [/racecar_simulator/scan_field_of_view] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,819: +PARAM [/racecar_simulator/pose_rviz_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,820: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,820: +PARAM [/racecar_simulator/joy_angle_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,820: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,821: +PARAM [/racecar_simulator/scan_beams] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,821: +PARAM [/racecar_simulator/map_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,821: +PARAM [/racecar_simulator/joy_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,821: +PARAM [/racecar_simulator/drive_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,821: +SERVICE [/rosout/get_loggers] /rosout http://3ff6fdf48960:45485/
[rosmaster.master][INFO] 2020-06-16 21:02:17,821: +PARAM [/racecar_simulator/joy_speed_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,822: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,822: +SERVICE [/rosout/set_logger_level] /rosout http://3ff6fdf48960:45485/
[rosmaster.master][INFO] 2020-06-16 21:02:17,822: +PARAM [/racecar_simulator/odom_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,822: +PARAM [/racecar_simulator/scan_distance_to_base_link] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,823: +PARAM [/move_base/collision_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,823: +PARAM [/racecar_simulator/update_pose_rate] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,823: +PARAM [/racecar_simulator/broadcast_transform] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,823: +PUB [/rosout_agg] /rosout http://3ff6fdf48960:45485/
[rosmaster.master][INFO] 2020-06-16 21:02:17,823: +PARAM [/move_base/collision_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,824: +PARAM [/move_base/clearing_rotation_allowed] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,824: +PARAM [/racecar_simulator/scan_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,824: +PARAM [/move_base/MpnetLocalPlanner/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,825: +PARAM [/racecar_simulator/wheelbase] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,825: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,826: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,826: +SUB [/rosout] /rosout http://3ff6fdf48960:45485/
[rosmaster.master][INFO] 2020-06-16 21:02:17,826: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,826: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,826: +PARAM [/move_base/collision_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,826: +PARAM [/move_base/collision_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,826: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,826: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,827: +PARAM [/racecar_simulator/joy] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,827: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,827: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,827: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,827: +PARAM [/racecar_simulator/max_steering_angle] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,827: +PARAM [/racecar_simulator/distance_transform_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,827: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,827: +PARAM [/racecar_simulator/scan_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,827: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,827: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,827: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,827: +PARAM [/racecar_simulator/base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,827: +PARAM [/racecar_simulator/map_free_threshold] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,827: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,828: +PARAM [/racecar_simulator/joy_max_speed] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,828: +PARAM [/racecar_simulator/map_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,828: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,828: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,828: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,828: +PARAM [/racecar_simulator/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,828: +PARAM [/move_base/base_local_planner] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,828: +PARAM [/racecar_simulator/scan_std_dev] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,828: +PARAM [/move_base/MpnetLocalPlanner/xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,828: +PARAM [/racecar_simulator/pose_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,828: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,828: +PARAM [/move_base/collision_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,828: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,828: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,829: +PARAM [/move_base/collision_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,829: +PARAM [/racecar_simulator/max_speed] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,829: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,829: +PARAM [/move_base/collision_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:17,829: +PARAM [/move_base/MpnetLocalPlanner/xy_replan_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:02:18,298: +PUB [/rosout] /map_server http://3ff6fdf48960:38599/
[rosmaster.master][INFO] 2020-06-16 21:02:18,299: +SERVICE [/map_server/get_loggers] /map_server http://3ff6fdf48960:38599/
[rosmaster.master][INFO] 2020-06-16 21:02:18,299: +SERVICE [/map_server/set_logger_level] /map_server http://3ff6fdf48960:38599/
[rosmaster.master][INFO] 2020-06-16 21:02:18,303: +SERVICE [/static_map] /map_server http://3ff6fdf48960:38599/
[rosmaster.master][INFO] 2020-06-16 21:02:18,304: +PUB [/map_metadata] /map_server http://3ff6fdf48960:38599/
[rosmaster.master][INFO] 2020-06-16 21:02:18,304: +PUB [/map] /map_server http://3ff6fdf48960:38599/
[rosmaster.master][INFO] 2020-06-16 21:02:18,395: publisherUpdate[/rosout] -> http://3ff6fdf48960:45485/ ['http://3ff6fdf48960:38599/']
[rosmaster.master][INFO] 2020-06-16 21:02:18,416: publisherUpdate[/rosout] -> http://3ff6fdf48960:45485/ ['http://3ff6fdf48960:38599/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2020-06-16 21:02:18,753: +PUB [/rosout] /robot_state_publisher http://3ff6fdf48960:39947/
[rosmaster.master][INFO] 2020-06-16 21:02:18,754: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://3ff6fdf48960:39947/
[rosmaster.master][INFO] 2020-06-16 21:02:18,754: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://3ff6fdf48960:39947/
[rosmaster.master][INFO] 2020-06-16 21:02:18,757: +PUB [/tf] /robot_state_publisher http://3ff6fdf48960:39947/
[rosmaster.master][INFO] 2020-06-16 21:02:18,757: +PUB [/tf_static] /robot_state_publisher http://3ff6fdf48960:39947/
[rosmaster.master][INFO] 2020-06-16 21:02:18,761: +SUB [/joint_states] /robot_state_publisher http://3ff6fdf48960:39947/
[rosmaster.master][INFO] 2020-06-16 21:02:18,796: publisherUpdate[/rosout] -> http://3ff6fdf48960:45485/ ['http://3ff6fdf48960:38599/', 'http://3ff6fdf48960:39947/']
[rosmaster.master][INFO] 2020-06-16 21:02:18,816: publisherUpdate[/rosout] -> http://3ff6fdf48960:45485/ ['http://3ff6fdf48960:38599/', 'http://3ff6fdf48960:39947/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2020-06-16 21:02:19,207: +PUB [/rosout] /racecar_simulator http://3ff6fdf48960:35673/
[rosmaster.master][INFO] 2020-06-16 21:02:19,207: +SERVICE [/racecar_simulator/get_loggers] /racecar_simulator http://3ff6fdf48960:35673/
[rosmaster.master][INFO] 2020-06-16 21:02:19,208: +SERVICE [/racecar_simulator/set_logger_level] /racecar_simulator http://3ff6fdf48960:35673/
[rosmaster.master][INFO] 2020-06-16 21:02:19,209: +PUB [/tf] /racecar_simulator http://3ff6fdf48960:35673/
