[rosmaster.main][INFO] 2020-06-16 21:03:13,770: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-06-16 21:03:13,770: Starting ROS Master Node
[xmlrpc][INFO] 2020-06-16 21:03:13,771: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-06-16 21:03:13,771: Started XML-RPC server [http://3ff6fdf48960:11311/]
[rosmaster.master][INFO] 2020-06-16 21:03:13,772: Master initialized: port[11311], uri[http://3ff6fdf48960:11311/]
[xmlrpc][INFO] 2020-06-16 21:03:13,772: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-06-16 21:03:13,810: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:13,812: +PARAM [/roslaunch/uris/host_3ff6fdf48960__33675] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,307: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,307: +PARAM [/racecar_simulator/scan_field_of_view] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,307: +PARAM [/racecar_simulator/pose_rviz_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,307: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,307: +PARAM [/racecar_simulator/joy_angle_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,307: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,307: +PARAM [/racecar_simulator/scan_beams] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,307: +PARAM [/racecar_simulator/map_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,308: +PARAM [/racecar_simulator/joy_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,309: +PARAM [/racecar_simulator/drive_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,309: +SERVICE [/rosout/get_loggers] /rosout http://3ff6fdf48960:39665/
[rosmaster.master][INFO] 2020-06-16 21:03:14,310: +PARAM [/racecar_simulator/joy_speed_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,310: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,310: +PARAM [/racecar_simulator/odom_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,311: +SERVICE [/rosout/set_logger_level] /rosout http://3ff6fdf48960:39665/
[rosmaster.master][INFO] 2020-06-16 21:03:14,311: +PARAM [/racecar_simulator/scan_distance_to_base_link] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,311: +PARAM [/move_base/collision_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,311: +PARAM [/racecar_simulator/update_pose_rate] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,312: +PUB [/rosout_agg] /rosout http://3ff6fdf48960:39665/
[rosmaster.master][INFO] 2020-06-16 21:03:14,312: +PARAM [/racecar_simulator/broadcast_transform] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,312: +PARAM [/move_base/collision_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,313: +PARAM [/move_base/clearing_rotation_allowed] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,313: +PARAM [/racecar_simulator/scan_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,313: +PARAM [/move_base/MpnetLocalPlanner/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,314: +PARAM [/racecar_simulator/wheelbase] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,314: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,314: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,314: +SUB [/rosout] /rosout http://3ff6fdf48960:39665/
[rosmaster.master][INFO] 2020-06-16 21:03:14,315: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,315: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,315: +PARAM [/move_base/collision_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,315: +PARAM [/move_base/collision_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,315: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,315: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,315: +PARAM [/racecar_simulator/joy] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,315: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,315: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,316: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,316: +PARAM [/racecar_simulator/max_steering_angle] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,316: +PARAM [/racecar_simulator/distance_transform_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,316: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,316: +PARAM [/racecar_simulator/scan_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,316: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,316: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,316: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,316: +PARAM [/racecar_simulator/base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,316: +PARAM [/racecar_simulator/map_free_threshold] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,316: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,316: +PARAM [/racecar_simulator/joy_max_speed] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,317: +PARAM [/racecar_simulator/map_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,317: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,317: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,317: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,317: +PARAM [/racecar_simulator/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,317: +PARAM [/move_base/base_local_planner] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,317: +PARAM [/racecar_simulator/scan_std_dev] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,317: +PARAM [/move_base/MpnetLocalPlanner/xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,317: +PARAM [/racecar_simulator/pose_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,317: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,317: +PARAM [/move_base/collision_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,317: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,317: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,318: +PARAM [/move_base/collision_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,318: +PARAM [/racecar_simulator/max_speed] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,318: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,318: +PARAM [/move_base/collision_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,318: +PARAM [/move_base/MpnetLocalPlanner/xy_replan_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:14,809: +PUB [/rosout] /map_server http://3ff6fdf48960:34339/
[rosmaster.master][INFO] 2020-06-16 21:03:14,809: +SERVICE [/map_server/get_loggers] /map_server http://3ff6fdf48960:34339/
[rosmaster.master][INFO] 2020-06-16 21:03:14,810: +SERVICE [/map_server/set_logger_level] /map_server http://3ff6fdf48960:34339/
[rosmaster.master][INFO] 2020-06-16 21:03:14,814: +SERVICE [/static_map] /map_server http://3ff6fdf48960:34339/
[rosmaster.master][INFO] 2020-06-16 21:03:14,814: +PUB [/map_metadata] /map_server http://3ff6fdf48960:34339/
