[rosmaster.main][INFO] 2020-06-16 21:03:43,994: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-06-16 21:03:43,994: Starting ROS Master Node
[xmlrpc][INFO] 2020-06-16 21:03:43,995: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-06-16 21:03:43,995: Started XML-RPC server [http://3ff6fdf48960:11311/]
[rosmaster.master][INFO] 2020-06-16 21:03:43,995: Master initialized: port[11311], uri[http://3ff6fdf48960:11311/]
[xmlrpc][INFO] 2020-06-16 21:03:43,995: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-06-16 21:03:44,028: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,029: +PARAM [/roslaunch/uris/host_3ff6fdf48960__46585] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,537: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,538: +PARAM [/racecar_simulator/scan_field_of_view] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,538: +PARAM [/racecar_simulator/pose_rviz_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,538: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,538: +PARAM [/racecar_simulator/joy_angle_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,538: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,539: +PARAM [/racecar_simulator/scan_beams] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,539: +PARAM [/racecar_simulator/map_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,539: +PARAM [/racecar_simulator/joy_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,539: +PARAM [/racecar_simulator/drive_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,540: +PARAM [/racecar_simulator/joy_speed_axis] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,540: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,540: +SERVICE [/rosout/get_loggers] /rosout http://3ff6fdf48960:40809/
[rosmaster.master][INFO] 2020-06-16 21:03:44,540: +PARAM [/racecar_simulator/odom_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,540: +PARAM [/racecar_simulator/scan_distance_to_base_link] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,541: +SERVICE [/rosout/set_logger_level] /rosout http://3ff6fdf48960:40809/
[rosmaster.master][INFO] 2020-06-16 21:03:44,541: +PARAM [/move_base/collision_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,542: +PARAM [/racecar_simulator/update_pose_rate] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,542: +PARAM [/racecar_simulator/broadcast_transform] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,542: +PUB [/rosout_agg] /rosout http://3ff6fdf48960:40809/
[rosmaster.master][INFO] 2020-06-16 21:03:44,542: +PARAM [/move_base/collision_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,543: +PARAM [/move_base/clearing_rotation_allowed] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,543: +PARAM [/racecar_simulator/scan_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,544: +PARAM [/move_base/MpnetLocalPlanner/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,544: +PARAM [/racecar_simulator/wheelbase] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,544: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,545: +SUB [/rosout] /rosout http://3ff6fdf48960:40809/
[rosmaster.master][INFO] 2020-06-16 21:03:44,545: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,545: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,545: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,545: +PARAM [/move_base/collision_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,545: +PARAM [/move_base/collision_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,545: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,546: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,546: +PARAM [/racecar_simulator/joy] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,546: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,546: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,546: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,546: +PARAM [/racecar_simulator/max_steering_angle] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,546: +PARAM [/racecar_simulator/distance_transform_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,546: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,546: +PARAM [/racecar_simulator/scan_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,546: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,546: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,546: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,547: +PARAM [/racecar_simulator/base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,547: +PARAM [/racecar_simulator/map_free_threshold] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,547: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,547: +PARAM [/racecar_simulator/joy_max_speed] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,547: +PARAM [/racecar_simulator/map_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,547: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,547: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,547: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,547: +PARAM [/racecar_simulator/odom_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,547: +PARAM [/move_base/base_local_planner] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,547: +PARAM [/racecar_simulator/scan_std_dev] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,548: +PARAM [/move_base/MpnetLocalPlanner/xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,548: +PARAM [/racecar_simulator/pose_topic] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,548: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,548: +PARAM [/move_base/collision_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,548: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,548: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,548: +PARAM [/move_base/collision_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,548: +PARAM [/racecar_simulator/max_speed] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,548: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,548: +PARAM [/move_base/collision_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:44,548: +PARAM [/move_base/MpnetLocalPlanner/xy_replan_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-06-16 21:03:45,014: +PUB [/rosout] /map_server http://3ff6fdf48960:37603/
[rosmaster.master][INFO] 2020-06-16 21:03:45,015: +SERVICE [/map_server/get_loggers] /map_server http://3ff6fdf48960:37603/
[rosmaster.master][INFO] 2020-06-16 21:03:45,015: +SERVICE [/map_server/set_logger_level] /map_server http://3ff6fdf48960:37603/
[rosmaster.master][INFO] 2020-06-16 21:03:45,019: +SERVICE [/static_map] /map_server http://3ff6fdf48960:37603/
[rosmaster.master][INFO] 2020-06-16 21:03:45,020: +PUB [/map_metadata] /map_server http://3ff6fdf48960:37603/
[rosmaster.master][INFO] 2020-06-16 21:03:45,020: +PUB [/map] /map_server http://3ff6fdf48960:37603/
[rosmaster.master][INFO] 2020-06-16 21:03:45,096: publisherUpdate[/rosout] -> http://3ff6fdf48960:40809/ ['http://3ff6fdf48960:37603/']
[rosmaster.master][INFO] 2020-06-16 21:03:45,117: publisherUpdate[/rosout] -> http://3ff6fdf48960:40809/ ['http://3ff6fdf48960:37603/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2020-06-16 21:03:45,472: +PUB [/rosout] /robot_state_publisher http://3ff6fdf48960:40993/
[rosmaster.master][INFO] 2020-06-16 21:03:45,473: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://3ff6fdf48960:40993/
[rosmaster.master][INFO] 2020-06-16 21:03:45,473: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://3ff6fdf48960:40993/
[rosmaster.master][INFO] 2020-06-16 21:03:45,476: +PUB [/tf] /robot_state_publisher http://3ff6fdf48960:40993/
[rosmaster.master][INFO] 2020-06-16 21:03:45,476: +PUB [/tf_static] /robot_state_publisher http://3ff6fdf48960:40993/
[rosmaster.master][INFO] 2020-06-16 21:03:45,480: +SUB [/joint_states] /robot_state_publisher http://3ff6fdf48960:40993/
[rosmaster.master][INFO] 2020-06-16 21:03:45,497: publisherUpdate[/rosout] -> http://3ff6fdf48960:40809/ ['http://3ff6fdf48960:37603/', 'http://3ff6fdf48960:40993/']
[rosmaster.master][INFO] 2020-06-16 21:03:45,517: publisherUpdate[/rosout] -> http://3ff6fdf48960:40809/ ['http://3ff6fdf48960:37603/', 'http://3ff6fdf48960:40993/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2020-06-16 21:03:45,922: +PUB [/rosout] /racecar_simulator http://3ff6fdf48960:45173/
[rosmaster.master][INFO] 2020-06-16 21:03:45,922: +SERVICE [/racecar_simulator/get_loggers] /racecar_simulator http://3ff6fdf48960:45173/
[rosmaster.master][INFO] 2020-06-16 21:03:45,923: +SERVICE [/racecar_simulator/set_logger_level] /racecar_simulator http://3ff6fdf48960:45173/
[rosmaster.master][INFO] 2020-06-16 21:03:45,923: +PUB [/tf] /racecar_simulator http://3ff6fdf48960:45173/
[rosmaster.master][INFO] 2020-06-16 21:03:45,930: +PUB [/scan] /racecar_simulator http://3ff6fdf48960:45173/
[rosmaster.master][INFO] 2020-06-16 21:03:45,931: +PUB [/odom] /racecar_simulator http://3ff6fdf48960:45173/
[rosmaster.master][INFO] 2020-06-16 21:03:45,932: +SUB [/joy] /racecar_simulator http://3ff6fdf48960:45173/
[rosmaster.master][INFO] 2020-06-16 21:03:45,935: +SUB [/drive] /racecar_simulator http://3ff6fdf48960:45173/
[rosmaster.master][INFO] 2020-06-16 21:03:45,937: +SUB [/map] /racecar_simulator http://3ff6fdf48960:45173/
[rosmaster.master][INFO] 2020-06-16 21:03:45,939: +SUB [/pose] /racecar_simulator http://3ff6fdf48960:45173/
